learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),labeling cost,newThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
520000.0,32.343762441,0.010691759050000001,46764.989527144266,0.0072776963,68703.05923592883,8.385556413566736E-7,520000.0,89.74596153846154,79.49193401900774,79.51185961352991,79.45557524851661,520000.0,125640.0,0.25761538461538463,0.5,460.7999999999999,291.10318903554906,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
530000.0,32.889143557,0.0127231327,39298.497609790706,0.0088331405,56605.0092829385,8.525685803679792E-7,530000.0,89.7545283018868,79.50906964969022,79.53654712913972,79.47505490227206,530000.0,125640.0,0.2574377358490566,0.5,469.8,300.76894047683106,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540000.0,33.533552551,0.015148880049999999,33005.74024942524,0.0104896091,47666.21856290145,8.692352175676307E-7,540000.0,89.76462962962964,79.52927112329623,79.55560980661961,79.49690993938586,540000.0,125640.0,0.2572685185185185,0.5,477.40000000000003,305.2005533706939,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
550000.0,34.027101717,0.0118251905,42282.61692697466,0.007783861899999999,64235.46645913644,8.819823400781533E-7,550000.0,89.76454545454546,79.52910100148097,79.55785857720225,79.49815175628676,550000.0,125640.0,0.2571727272727273,0.5,479.70000000000005,306.48257155451216,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
560000.0,34.510922578,0.01135170075,44046.263287904236,0.00772194395,64750.534740672396,8.943814137688881E-7,560000.0,89.76553571428572,79.53107797288264,79.56099996433794,79.49606828800594,560000.0,125640.0,0.25695535714285717,0.5,456.6,288.86798214947794,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
570000.0,35.086779883,0.012904707100000001,38745.5520009439,0.009635248150000001,51892.79946048924,9.090338082391812E-7,570000.0,89.75508771929825,79.51018471444749,79.53279708392478,79.47524735075478,570000.0,125640.0,0.25675087719298245,0.5,465.5,299.1979092321484,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
580000.0,35.5641198,0.0110905108,45083.586231213085,0.0077630782499999995,64407.44043768978,9.212898318593433E-7,580000.0,89.7544827586207,79.5089735635631,79.53592164803604,79.47215697112064,580000.0,125640.0,0.2566413793103448,0.5,483.19999999999993,306.59992027251263,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
590000.0,36.066045972,0.0119291699,41914.06478333417,0.0080261975,62296.00006727968,9.342620809921106E-7,590000.0,89.7706779661017,79.5413612583846,79.56781388168541,79.50244531992936,590000.0,125640.0,0.2564474576271186,0.5,461.5,291.0224313614941,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600000.0,36.666775167,0.0139974419,35720.812672206914,0.00994796255,50261.54828055721,9.498281062064735E-7,600000.0,89.77033333333333,79.54067199427567,79.56682113561307,79.49898126189919,600000.0,125640.0,0.25630833333333336,0.5,478.6,301.97505415734815,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
610000.0,37.35668053,0.0159133293,31420.20067416062,0.0114458043,43684.12973826575,9.676132709695068E-7,610000.0,89.77573770491803,79.55147921883331,79.57879295892708,79.50901540240761,610000.0,125640.0,0.2561229508196721,0.5,460.9,292.16374784623014,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
620000.0,37.989188364,0.0145827914,34286.98842938945,0.01052309195,47514.55203239956,9.839336807613304E-7,620000.0,89.79225806451613,79.58451502370689,79.61102180069135,79.54168565803893,620000.0,125640.0,0.25593387096774195,0.5,461.1,294.8417466295361,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
